iter	Passed	Remaining
590	7387	5112
591	7399	5099
592	7412	5087
593	7428	5077
594	7440	5064
595	7450	5050
596	7461	5036
597	7474	5024
598	7486	5011
599	7497	4998
600	7512	4987
601	7525	4975
602	7539	4963
603	7557	4954
604	7570	4942
605	7586	4932
606	7598	4919
607	7612	4907
608	7624	4895
609	7637	4882
610	7647	4869
611	7659	4855
612	7671	4843
613	7684	4830
614	7695	4817
615	7707	4804
616	7718	4791
617	7729	4778
618	7742	4765
619	7755	4753
620	7769	4741
621	7782	4729
622	7797	4718
623	7816	4709
624	7834	4700
625	7849	4689
626	7865	4679
627	7880	4668
628	7893	4655
629	7906	4643
630	7920	4631
631	7932	4618
632	7943	4605
633	7955	4592
634	7967	4580
635	7979	4566
636	7990	4553
637	8003	4541
638	8017	4529
639	8030	4517
640	8042	4504
641	8056	4492
642	8071	4481
643	8085	4469
644	8098	4457
645	8110	4444
646	8121	4431
647	8134	4418
648	8149	4407
649	8162	4395
650	8173	4382
651	8185	4369
652	8199	4356
653	8210	4343
654	8220	4329
655	8232	4317
656	8244	4304
657	8255	4291
658	8267	4278
659	8279	4265
660	8293	4253
661	8303	4239
662	8315	4226
663	8326	4213
664	8336	4199
665	8349	4187
666	8362	4174
667	8375	4162
668	8388	4150
669	8406	4140
670	8423	4130
671	8435	4117
672	8448	4105
673	8464	4093
674	8483	4084
675	8506	4076
676	8523	4066
677	8539	4055
678	8555	4044
679	8570	4033
680	8595	4026
681	8620	4019
682	8647	4013
683	8663	4002
684	8679	3991
685	8696	3980
686	8710	3968
687	8726	3957
688	8741	3945
689	8756	3934
690	8770	3922
691	8787	3911
692	8802	3899
693	8816	3887
694	8830	3875
695	8844	3862
696	8858	3851
697	8873	3839
698	8888	3827
699	8902	3815
700	8917	3803
701	8930	3791
702	8943	3778
703	8956	3765
704	8970	3753
705	8983	3741
706	8997	3728
707	9009	3715
708	9022	3703
709	9037	3691
710	9048	3678
711	9059	3664
712	9072	3651
713	9083	3638
714	9097	3626
715	9110	3613
716	9123	3600
717	9138	3589
718	9153	3577
719	9167	3565
720	9188	3555
721	9204	3544
